Année,Cause,Data qualifier,Juridiction,Jurisdiction,Niveau d'intervention,Number,Origine,Protection zone,Response category,Year,Zone de protection
1993,Forest industry,n,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,1993,Intensive
1994,Forest industry,n,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,1994,Intensive
1995,Forest industry,n,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,1995,Intensive
1996,Forest industry,n,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,1996,Intensive
1997,Forest industry,n,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,1997,Intensive
1998,Forest industry,n,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,1998,Intensive
1999,Forest industry,n,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,1999,Intensive
2000,Forest industry,n,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,2000,Intensive
2001,Forest industry,n,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,2001,Intensive
2002,Forest industry,n,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,2002,Intensive
2003,Forest industry,n,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,2003,Intensive
2004,Forest industry,n,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,2004,Intensive
2005,Forest industry,n,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,2005,Intensive
2006,Forest industry,n,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,2006,Intensive
2007,Forest industry,n,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,2007,Intensive
2008,Forest industry,n,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,2008,Intensive
2009,Forest industry,n,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,2009,Intensive
2010,Forest industry,u,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,2010,Intensive
2011,Forest industry,u,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,2011,Intensive
2012,Forest industry,u,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,2012,Intensive
2013,Forest industry,u,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,2013,Intensive
2014,Forest industry,u,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,2014,Intensive
2015,Forest industry,u,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,2015,Intensive
2016,Forest industry,u,Nouveau-Brunswick,New Brunswick,Modulée,,Industrie forestiere,Intensive,Modified,2016,Intensive
2017,Forest industry,p,Nouveau-Brunswick,New Brunswick,Modulée,0,Industrie forestiere,Intensive,Modified,2017,Intensive
1990,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,1990,Intensive
1991,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,1991,Intensive
1992,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,1992,Intensive
1993,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,1993,Intensive
1994,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,1994,Intensive
1995,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,1995,Intensive
1996,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,1996,Intensive
1997,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,1997,Intensive
1998,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,1998,Intensive
1999,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,1999,Intensive
2000,Forest industry,u,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,,Industrie forestiere,Intensive,Modified,2000,Intensive
2001,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,2001,Intensive
2002,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,2002,Intensive
2003,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,2003,Intensive
2004,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,2004,Intensive
2005,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,2005,Intensive
2006,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,2006,Intensive
2007,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,2007,Intensive
2008,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,2008,Intensive
2009,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,2009,Intensive
2010,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,2010,Intensive
2011,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,2011,Intensive
2012,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,2012,Intensive
2013,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,2013,Intensive
2014,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,2014,Intensive
2015,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,2015,Intensive
2016,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,2016,Intensive
2017,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Modulée,0,Industrie forestiere,Intensive,Modified,2017,Intensive
1990,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,1990,Intensive
1991,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,1991,Intensive
1992,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,1992,Intensive
1993,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,1993,Intensive
1994,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,1994,Intensive
1995,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,1995,Intensive
1996,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,1996,Intensive
1997,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,1997,Intensive
1998,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,1998,Intensive
1999,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,1999,Intensive
2000,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,2000,Intensive
2001,Forest industry,n,Nouvelle-Écosse,Nova Scotia,Modulée,,Industrie forestiere,Intensive,Modified,2001,Intensive
2002,Forest industry,n,Nouvelle-Écosse,Nova Scotia,Modulée,,Industrie forestiere,Intensive,Modified,2002,Intensive
2003,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,2003,Intensive
2004,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,2004,Intensive
2005,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,2005,Intensive
2006,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,2006,Intensive
2007,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,2007,Intensive
2008,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,2008,Intensive
2009,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,2009,Intensive
2010,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,2010,Intensive
2011,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,2011,Intensive
2012,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,2012,Intensive
2013,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,2013,Intensive
2014,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,2014,Intensive
2015,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,2015,Intensive
2016,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,2016,Intensive
2017,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Modulée,0,Industrie forestiere,Intensive,Modified,2017,Intensive
1990,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,1990,Intensive
1991,Forest industry,a,Ontario,Ontario,Modulée,1,Industrie forestiere,Intensive,Modified,1991,Intensive
1992,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,1992,Intensive
1993,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,1993,Intensive
1994,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,1994,Intensive
1995,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,1995,Intensive
1996,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,1996,Intensive
1997,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,1997,Intensive
1998,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,1998,Intensive
1999,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,1999,Intensive
2000,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,2000,Intensive
2001,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,2001,Intensive
2002,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,2002,Intensive
2003,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,2003,Intensive
2004,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,2004,Intensive
2005,Forest industry,a,Ontario,Ontario,Modulée,2,Industrie forestiere,Intensive,Modified,2005,Intensive
2006,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,2006,Intensive
2007,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,2007,Intensive
2008,Forest industry,a,Ontario,Ontario,Modulée,1,Industrie forestiere,Intensive,Modified,2008,Intensive
2009,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,2009,Intensive
2010,Forest industry,a,Ontario,Ontario,Modulée,2,Industrie forestiere,Intensive,Modified,2010,Intensive
2011,Forest industry,a,Ontario,Ontario,Modulée,1,Industrie forestiere,Intensive,Modified,2011,Intensive
2012,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,2012,Intensive
2013,Forest industry,a,Ontario,Ontario,Modulée,1,Industrie forestiere,Intensive,Modified,2013,Intensive
2014,Forest industry,u,Ontario,Ontario,Modulée,,Industrie forestiere,Intensive,Modified,2014,Intensive
2015,Forest industry,u,Ontario,Ontario,Modulée,,Industrie forestiere,Intensive,Modified,2015,Intensive
2016,Forest industry,u,Ontario,Ontario,Modulée,,Industrie forestiere,Intensive,Modified,2016,Intensive
2017,Forest industry,a,Ontario,Ontario,Modulée,0,Industrie forestiere,Intensive,Modified,2017,Intensive
1990,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Modulée,0,Industrie forestiere,Intensive,Modified,1990,Intensive
1991,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Modulée,0,Industrie forestiere,Intensive,Modified,1991,Intensive
1992,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Modulée,0,Industrie forestiere,Intensive,Modified,1992,Intensive
1993,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Modulée,0,Industrie forestiere,Intensive,Modified,1993,Intensive
1994,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Modulée,0,Industrie forestiere,Intensive,Modified,1994,Intensive
1995,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Modulée,0,Industrie forestiere,Intensive,Modified,1995,Intensive
1996,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Modulée,0,Industrie forestiere,Intensive,Modified,1996,Intensive
1997,Forest industry,u,Île-du-Prince-Édouard,Prince Edward Island,Modulée,,Industrie forestiere,Intensive,Modified,1997,Intensive
1998,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Modulée,0,Industrie forestiere,Intensive,Modified,1998,Intensive
1999,Forest industry,u,Île-du-Prince-Édouard,Prince Edward Island,Modulée,,Industrie forestiere,Intensive,Modified,1999,Intensive
2000,Forest industry,u,Île-du-Prince-Édouard,Prince Edward Island,Modulée,,Industrie forestiere,Intensive,Modified,2000,Intensive
2001,Forest industry,u,Île-du-Prince-Édouard,Prince Edward Island,Modulée,,Industrie forestiere,Intensive,Modified,2001,Intensive
2002,Forest industry,n,Île-du-Prince-Édouard,Prince Edward Island,Modulée,,Industrie forestiere,Intensive,Modified,2002,Intensive
2003,Forest industry,n,Île-du-Prince-Édouard,Prince Edward Island,Modulée,,Industrie forestiere,Intensive,Modified,2003,Intensive
2004,Forest industry,n,Île-du-Prince-Édouard,Prince Edward Island,Modulée,,Industrie forestiere,Intensive,Modified,2004,Intensive
2005,Forest industry,n,Île-du-Prince-Édouard,Prince Edward Island,Modulée,,Industrie forestiere,Intensive,Modified,2005,Intensive
2006,Forest industry,n,Île-du-Prince-Édouard,Prince Edward Island,Modulée,,Industrie forestiere,Intensive,Modified,2006,Intensive
2007,Forest industry,n,Île-du-Prince-Édouard,Prince Edward Island,Modulée,,Industrie forestiere,Intensive,Modified,2007,Intensive
2008,Forest industry,n,Île-du-Prince-Édouard,Prince Edward Island,Modulée,,Industrie forestiere,Intensive,Modified,2008,Intensive
2009,Forest industry,n,Île-du-Prince-Édouard,Prince Edward Island,Modulée,,Industrie forestiere,Intensive,Modified,2009,Intensive
2010,Forest industry,n,Île-du-Prince-Édouard,Prince Edward Island,Modulée,,Industrie forestiere,Intensive,Modified,2010,Intensive
2011,Forest industry,n,Île-du-Prince-Édouard,Prince Edward Island,Modulée,,Industrie forestiere,Intensive,Modified,2011,Intensive
2012,Forest industry,n,Île-du-Prince-Édouard,Prince Edward Island,Modulée,,Industrie forestiere,Intensive,Modified,2012,Intensive
2013,Forest industry,n,Île-du-Prince-Édouard,Prince Edward Island,Modulée,,Industrie forestiere,Intensive,Modified,2013,Intensive
2014,Forest industry,n,Île-du-Prince-Édouard,Prince Edward Island,Modulée,,Industrie forestiere,Intensive,Modified,2014,Intensive
2015,Forest industry,n,Île-du-Prince-Édouard,Prince Edward Island,Modulée,,Industrie forestiere,Intensive,Modified,2015,Intensive
2016,Forest industry,e,Île-du-Prince-Édouard,Prince Edward Island,Modulée,0,Industrie forestiere,Intensive,Modified,2016,Intensive
2017,Forest industry,p,Île-du-Prince-Édouard,Prince Edward Island,Modulée,0,Industrie forestiere,Intensive,Modified,2017,Intensive
1990,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,1990,Intensive
1991,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,1991,Intensive
1992,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,1992,Intensive
1993,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,1993,Intensive
1994,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,1994,Intensive
1995,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,1995,Intensive
1996,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,1996,Intensive
1997,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,1997,Intensive
1998,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,1998,Intensive
1999,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,1999,Intensive
2000,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,2000,Intensive
2001,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,2001,Intensive
2002,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,2002,Intensive
2003,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,2003,Intensive
2004,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,2004,Intensive
2005,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,2005,Intensive
2006,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,2006,Intensive
2007,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,2007,Intensive
2008,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,2008,Intensive
2009,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,2009,Intensive
2010,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,2010,Intensive
2011,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,2011,Intensive
2012,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,2012,Intensive
2013,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,2013,Intensive
2014,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,2014,Intensive
2015,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,2015,Intensive
2016,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,2016,Intensive
2017,Forest industry,a,Québec,Quebec,Modulée,0,Industrie forestiere,Intensive,Modified,2017,Intensive
1990,Forest industry,u,Saskatchewan,Saskatchewan,Modulée,,Industrie forestiere,Intensive,Modified,1990,Intensive
1991,Forest industry,u,Saskatchewan,Saskatchewan,Modulée,,Industrie forestiere,Intensive,Modified,1991,Intensive
1992,Forest industry,u,Saskatchewan,Saskatchewan,Modulée,,Industrie forestiere,Intensive,Modified,1992,Intensive
1993,Forest industry,u,Saskatchewan,Saskatchewan,Modulée,,Industrie forestiere,Intensive,Modified,1993,Intensive
1994,Forest industry,u,Saskatchewan,Saskatchewan,Modulée,,Industrie forestiere,Intensive,Modified,1994,Intensive
1995,Forest industry,u,Saskatchewan,Saskatchewan,Modulée,,Industrie forestiere,Intensive,Modified,1995,Intensive
1996,Forest industry,E,Saskatchewan,Saskatchewan,Modulée,0,Industrie forestiere,Intensive,Modified,1996,Intensive
1997,Forest industry,a,Saskatchewan,Saskatchewan,Modulée,0,Industrie forestiere,Intensive,Modified,1997,Intensive
1998,Forest industry,n,Saskatchewan,Saskatchewan,Modulée,,Industrie forestiere,Intensive,Modified,1998,Intensive
1999,Forest industry,n,Saskatchewan,Saskatchewan,Modulée,,Industrie forestiere,Intensive,Modified,1999,Intensive
2000,Forest industry,n,Saskatchewan,Saskatchewan,Modulée,,Industrie forestiere,Intensive,Modified,2000,Intensive
2001,Forest industry,n,Saskatchewan,Saskatchewan,Modulée,,Industrie forestiere,Intensive,Modified,2001,Intensive
2002,Forest industry,n,Saskatchewan,Saskatchewan,Modulée,,Industrie forestiere,Intensive,Modified,2002,Intensive
2003,Forest industry,n,Saskatchewan,Saskatchewan,Modulée,,Industrie forestiere,Intensive,Modified,2003,Intensive
2004,Forest industry,n,Saskatchewan,Saskatchewan,Modulée,,Industrie forestiere,Intensive,Modified,2004,Intensive
2005,Forest industry,n,Saskatchewan,Saskatchewan,Modulée,,Industrie forestiere,Intensive,Modified,2005,Intensive
2006,Forest industry,a,Saskatchewan,Saskatchewan,Modulée,0,Industrie forestiere,Intensive,Modified,2006,Intensive
2007,Forest industry,a,Saskatchewan,Saskatchewan,Modulée,0,Industrie forestiere,Intensive,Modified,2007,Intensive
2008,Forest industry,a,Saskatchewan,Saskatchewan,Modulée,0,Industrie forestiere,Intensive,Modified,2008,Intensive
2009,Forest industry,a,Saskatchewan,Saskatchewan,Modulée,1,Industrie forestiere,Intensive,Modified,2009,Intensive
2010,Forest industry,a,Saskatchewan,Saskatchewan,Modulée,0,Industrie forestiere,Intensive,Modified,2010,Intensive
2011,Forest industry,a,Saskatchewan,Saskatchewan,Modulée,0,Industrie forestiere,Intensive,Modified,2011,Intensive
2012,Forest industry,a,Saskatchewan,Saskatchewan,Modulée,0,Industrie forestiere,Intensive,Modified,2012,Intensive
2013,Forest industry,a,Saskatchewan,Saskatchewan,Modulée,0,Industrie forestiere,Intensive,Modified,2013,Intensive
2014,Forest industry,a,Saskatchewan,Saskatchewan,Modulée,0,Industrie forestiere,Intensive,Modified,2014,Intensive
2015,Forest industry,u,Saskatchewan,Saskatchewan,Modulée,,Industrie forestiere,Intensive,Modified,2015,Intensive
2016,Forest industry,u,Saskatchewan,Saskatchewan,Modulée,,Industrie forestiere,Intensive,Modified,2016,Intensive
2017,Forest industry,u,Saskatchewan,Saskatchewan,Modulée,,Industrie forestiere,Intensive,Modified,2017,Intensive
1990,Forest industry,u,Yukon,Yukon,Modulée,,Industrie forestiere,Intensive,Modified,1990,Intensive
1991,Forest industry,a,Yukon,Yukon,Modulée,0,Industrie forestiere,Intensive,Modified,1991,Intensive
1992,Forest industry,u,Yukon,Yukon,Modulée,,Industrie forestiere,Intensive,Modified,1992,Intensive
1993,Forest industry,u,Yukon,Yukon,Modulée,,Industrie forestiere,Intensive,Modified,1993,Intensive
1994,Forest industry,u,Yukon,Yukon,Modulée,,Industrie forestiere,Intensive,Modified,1994,Intensive
1995,Forest industry,u,Yukon,Yukon,Modulée,,Industrie forestiere,Intensive,Modified,1995,Intensive
1996,Forest industry,u,Yukon,Yukon,Modulée,,Industrie forestiere,Intensive,Modified,1996,Intensive
1997,Forest industry,u,Yukon,Yukon,Modulée,,Industrie forestiere,Intensive,Modified,1997,Intensive
1998,Forest industry,u,Yukon,Yukon,Modulée,,Industrie forestiere,Intensive,Modified,1998,Intensive
1999,Forest industry,u,Yukon,Yukon,Modulée,,Industrie forestiere,Intensive,Modified,1999,Intensive
2000,Forest industry,a,Yukon,Yukon,Modulée,0,Industrie forestiere,Intensive,Modified,2000,Intensive
2001,Forest industry,a,Yukon,Yukon,Modulée,0,Industrie forestiere,Intensive,Modified,2001,Intensive
2002,Forest industry,a,Yukon,Yukon,Modulée,0,Industrie forestiere,Intensive,Modified,2002,Intensive
2003,Forest industry,a,Yukon,Yukon,Modulée,0,Industrie forestiere,Intensive,Modified,2003,Intensive
2004,Forest industry,a,Yukon,Yukon,Modulée,0,Industrie forestiere,Intensive,Modified,2004,Intensive
2005,Forest industry,a,Yukon,Yukon,Modulée,0,Industrie forestiere,Intensive,Modified,2005,Intensive
2006,Forest industry,a,Yukon,Yukon,Modulée,0,Industrie forestiere,Intensive,Modified,2006,Intensive
2007,Forest industry,a,Yukon,Yukon,Modulée,0,Industrie forestiere,Intensive,Modified,2007,Intensive
2008,Forest industry,a,Yukon,Yukon,Modulée,0,Industrie forestiere,Intensive,Modified,2008,Intensive
2009,Forest industry,a,Yukon,Yukon,Modulée,0,Industrie forestiere,Intensive,Modified,2009,Intensive
2010,Forest industry,a,Yukon,Yukon,Modulée,0,Industrie forestiere,Intensive,Modified,2010,Intensive
2011,Forest industry,a,Yukon,Yukon,Modulée,0,Industrie forestiere,Intensive,Modified,2011,Intensive
2012,Forest industry,a,Yukon,Yukon,Modulée,0,Industrie forestiere,Intensive,Modified,2012,Intensive
2013,Forest industry,a,Yukon,Yukon,Modulée,0,Industrie forestiere,Intensive,Modified,2013,Intensive
2014,Forest industry,u,Yukon,Yukon,Modulée,,Industrie forestiere,Intensive,Modified,2014,Intensive
2015,Forest industry,u,Yukon,Yukon,Modulée,,Industrie forestiere,Intensive,Modified,2015,Intensive
2016,Forest industry,u,Yukon,Yukon,Modulée,,Industrie forestiere,Intensive,Modified,2016,Intensive
2017,Forest industry,u,Yukon,Yukon,Modulée,,Industrie forestiere,Intensive,Modified,2017,Intensive
1990,Forest industry,a,Territoires du Nord-Ouest,Northwest Territories,Modulée,0,Industrie forestiere,Intensive,Modified,1990,Intensive
1991,Forest industry,a,Territoires du Nord-Ouest,Northwest Territories,Modulée,0,Industrie forestiere,Intensive,Modified,1991,Intensive
1992,Forest industry,a,Territoires du Nord-Ouest,Northwest Territories,Modulée,0,Industrie forestiere,Intensive,Modified,1992,Intensive
1993,Forest industry,a,Territoires du Nord-Ouest,Northwest Territories,Modulée,0,Industrie forestiere,Intensive,Modified,1993,Intensive
1994,Forest industry,a,Territoires du Nord-Ouest,Northwest Territories,Modulée,0,Industrie forestiere,Intensive,Modified,1994,Intensive
1995,Forest industry,a,Territoires du Nord-Ouest,Northwest Territories,Modulée,0,Industrie forestiere,Intensive,Modified,1995,Intensive
1996,Forest industry,a,Territoires du Nord-Ouest,Northwest Territories,Modulée,0,Industrie forestiere,Intensive,Modified,1996,Intensive
1997,Forest industry,a,Territoires du Nord-Ouest,Northwest Territories,Modulée,0,Industrie forestiere,Intensive,Modified,1997,Intensive
